Abbreviation	Recon2Name	UniqueID	Degree in inhibition network	Database Names	KEGG Compound Type	PubChem CID	PubChem SID	HMDB	HMDB Kingdom	HMDB superClass	HMDB class	HMDB subClass
retn	retinoate	C00777	7	Retinoate		444795	4038	HMDB01852	Organic Compounds	Lipids	Prenol Lipids	Retinoids
4nph	4_nitrophenol	C00870	10	4-Nitrophenol		980	4127	HMDB01232	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Nitrophenols and Derivatives
34dhcinm	3,4_dihydroxy_trans_cinnamate	C01197	17	Caffeate		689043	4422	HMDB03501	Organic Compounds	Aromatic Cyclic Compounds	Cinnamic Acid Derivatives	Hydroxycinnamic Acid Derivatives
iodine	iodine	C01382	17	Iodine		807	4577	HMDB00675	Inorganic Compounds	Others	Homogeneous Halogens	N/A
cysam	cysteamine	C01678	12	Cysteamine	Peptides	6058	4821	HMDB02991	Organic Compounds	Aliphatic Acyclic Compounds	Thiols	Alkylthiols
HC02176	laurate	C02679	8	Dodecanoic acid	Lipids	3893	5649	HMDB00638	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
5adtststerone	5alpha_dihydrotestosterone	C03917	5	Dihydrotestosterone	Steroids!Hormones and transmitters	10635	6646	HMDB02961	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
octa	octanoate (n_c8:0)	C06423	5	Octanoic acid	Organic acids!Lipids	379	8658	HMDB00482	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
whddca	omega hydroxy dodecanoate (n_c12:0)	C08317	1	12-Hydroxydodecanoic acid		79034	10515	HMDB02059	Organic Compounds	Lipids	Fatty Acids and Conjugates	Hydroxy Fatty Acids
amet	s_adenosyl_l_methionine	C00019	11	S-Adenosyl-L-methionine	Vitamins and Cofactors	34755	3321	HMDB01185	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Glycoamino Acids and Derivatives
ahcys	s_adenosyl_l_homocysteine	C00021	18	S-Adenosyl-L-homocysteine		439155	3323	HMDB00939	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Glycoamino Acids and Derivatives
hcys_L	l_homocysteine	C00155	10	L-Homocysteine	Peptides	91552	3455	NA		Others		
34dhphe	3,4_dihydroxy_l_phenylalanine	C00355	10	3,4-Dihydroxy-L-phenylalanine	Peptides!Hormones and transmitters	6047	3648	HMDB00181	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
nrpphr	norepinephrine	C00547	15	L-Noradrenaline	Hormones and transmitters	439260	3828	HMDB00216	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Benzenediols
dopa	dopamine	C03758	17	Dopamine	Peptides!Hormones and transmitters	681	6517	HMDB00073	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Benzenediols
C05302	2-Methoxyestradiol-17beta	C05302	1	2-Methoxy-17beta-estradiol	Steroids	66414	7686	HMDB00405	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
bz	benzoate	C00180	13	Benzoate		243	3480	HMDB01870	Organic Compounds	Aromatic Cyclic Compounds	Benzoic Acid and Derivatives	N/A
phe_L	l_phenylalanine	C00079	17	L-Phenylalanine	Peptides	6140	3379	HMDB00159	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
phpyr	phenylpyruvate	C00166	9	Phenylpyruvate		997	3466	HMDB00205	Organic Compounds	Aromatic Cyclic Compounds	Benzyl Alcohols and Derivatives	Phenylpyruvic Acid Derivatives
hgentis	homogentisate	C00544	3	Homogentisate		780	3825	HMDB00130	Organic Compounds	Aromatic Cyclic Compounds	Phenylacetic Acid Derivatives	N/A
HC00460	2,5-dihydroxybenzoate	C00628	6	2,5-Dihydroxybenzoate		3469	3901	HMDB00152	Organic Compounds	Aromatic Cyclic Compounds	Benzoic Acid and Derivatives	Hydroxybenzoic Acid Derivatives
T4hcinnm	trans_4_hydroxycinnamate	C00811	12	4-Coumarate		637542	4069	HMDB02035	Organic Compounds	Aromatic Cyclic Compounds	Cinnamic Acid Derivatives	Hydroxycinnamic Acid Derivatives
34dhpha	3,4_dihydroxyphenylacetate	C01161	7	3,4-Dihydroxyphenylacetate		547	4388	HMDB01336	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Tyrosols and Derivatives
34hpp	3_(4_hydroxyphenyl)pyruvate	C01179	6	3-(4-Hydroxyphenyl)pyruvate		979	4406	HMDB00707	Organic Compounds	Aromatic Cyclic Compounds	Benzyl Alcohols and Derivatives	Phenylpyruvic Acid Derivatives
homoval	homovanillate	C05582	5	Homovanillate		1738	7908	HMDB00118	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Tyrosols and Derivatives
2hyoxplac	2_hydroxyphenylacetate	C05852	5	2-Hydroxyphenylacetate		11970	8145	HMDB00669	Organic Compounds	Aromatic Cyclic Compounds	Phenylacetic Acid Derivatives	N/A
3aib	l_3_amino_isobutanoate	C03284	1	L-3-Amino-isobutanoate		439434	6143	HMDB02166	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Beta Amino Acids and Derivatives
anth	anthranilate	C00108	7	Anthranilate		227	3408	HMDB01123	Organic Compounds	Aromatic Cyclic Compounds	Benzoic Acid and Derivatives	Aminobenzoic Acid Derivatives
quln	quinolinate	C03722	8	Quinolinate		1066	6487	HMDB00232	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
accoa	acetyl_coa	C00024	31	Acetyl-CoA		444493	3326	HMDB01206	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
malcoa	malonyl_coa	C00083	13	Malonyl-CoA		644066	3383	HMDB01175	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
ppcoa	propanoyl_coa	C00100	13	Propanoyl-CoA		92753	3400	HMDB01275	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
aacoa	acetoacetyl_coa	C00332	13	Acetoacetyl-CoA		92153	3626	HMDB01484	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
ibcoa	isobutyryl_coa	C00630	2	2-Methylpropanoyl-CoA		3036931	3903	HMDB01243	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
pentcoa	pentanoylcoa	C00888	5	Pentanoyl-CoA		11966122	4144	HMDB13037	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
lys_L	l_lysine	C00047	11	L-Lysine	Peptides	5962	3349	HMDB00182	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
asp_L	l_aspartate	C00049	18	L-Aspartate	Peptides!Hormones and transmitters	5960	3351	HMDB00191	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
so4	sulfate	C00059	66	Sulfate		1118	3359	HMDB01448	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Sulfates
gln_L	l_glutamine	C00064	11	L-Glutamine	Peptides	5961	3364	HMDB00641	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
met_L	l_methionine	C00073	16	L-Methionine	Peptides	6137	3373	HMDB00696	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
trp_L	l_tryptophan	C00078	25	L-Tryptophan	Peptides	6305	3378	HMDB00929	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
leu_L	l_leucine	C00123	15	L-Leucine	Peptides	6106	3423	HMDB00687	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
his_L	l_histidine	C00135	10	L-Histidine	Peptides	6274	3435	HMDB00177	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
asn_L	l_asparagine	C00152	11	L-Asparagine	Peptides	6267	3452	HMDB00168	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
nac	nicotinate	C00253	9	Nicotinate	Vitamins and Cofactors	938	3552	HMDB01488	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridinecarboxylic Acids and Derivatives
2oxoadp	2_oxoadipate	C00322	3	2-Oxoadipate	Organic acids	71	3616	HMDB00225	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Medium-chain Keto Acids and Derivatives
Lkynr	l_kynurenine	C00328	4	L-Kynurenine		161166	3622	HMDB00684	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
HC00319	Malonate	C00383	19	Malonate	Organic acids	867	3673	HMDB00691	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
Lcyst	l_cysteate	C00506	5	L-Cysteate		72886	3789	HMDB02757	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
3sala	3_sulfino_l_alanine	C00606	4	3-Sulfino-L-alanine	Peptides	1549098	3881	HMDB00996	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ind3ac	indole_3_acetate	C00954	13	Indole-3-acetate		802	4205	HMDB00197	Organic Compounds	Aromatic Cyclic Compounds	Indoles	Indolyl Carboxylic Acids and Derivatives
L2aadp	l_2_aminoadipate	C00956	6	L-2-Aminoadipate		92136	4207	HMDB00510	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
pser_L	o_phospho_l_serine	C01005	6	O-Phospho-L-serine		68841	4251	HMDB00272	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ddca	dodecanoate (n_c12:0)	C01571	6	Decanoic acid	Lipids	2969	4728	HMDB00511	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
kynate	4_hydroxy_2_quinolinecarboxylic acid	C01717	11	4-Hydroxy-2-quinolinecarboxylic acid		3845	4854	HMDB00715	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
C02470	Xanthurenic acid	C02470	6	Xanthurenic acid		5699	5485	HMDB00881	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
adpac	adipic acid	C06104	7	Adipate	Organic acids	196	8368	HMDB00448	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
C08261	Azelaic acid	C08261	4	Azelaic acid		2266	10460	HMDB00784	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
tyr_L	l_tyrosine	C00082	14	L-Tyrosine	Peptides	6057	3382	HMDB00158	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
trypta	tryptamine	C00398	8	Tryptamine		1150	3688	HMDB00303	Organic Compounds	Aromatic Cyclic Compounds	Indoles	Tryptamines and Derivatives
tym	tyramine	C00483	8	Tyramine	Peptides	5610	3766	HMDB00306	Organic Compounds	Aromatic Cyclic Compounds	Phenethylamines	N/A
id3acald	indole_3_acetaldehyde	C00637	2	Indole-3-acetaldehyde		800	3910	HMDB01190	Organic Compounds	Aromatic Cyclic Compounds	Indoles	N/A
5htrp	5_hydroxy_l_tryptophan	C00643	3	5-Hydroxy-L-tryptophan		439280	3916	HMDB15571	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
srtn	serotonin	C00780	13	Serotonin	Peptides!Hormones and transmitters	5202	4041	HMDB00259	Organic Compounds	Aromatic Cyclic Compounds	Indoles	Tryptamines and Derivatives
adrnl	adrenaline	C00788	14	L-Adrenaline	Hormones and transmitters	5816	4046	HMDB00068	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Benzenediols
3ityr_L	3_iodo_l_tyrosine	C02515	4	3-Iodo-L-tyrosine	Peptides	439744	5525	HMDB00021	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
peamn	phenethylamine	C05332	5	Phenethylamine	Peptides	1001	7711	HMDB12275	Organic Compounds	Aromatic Cyclic Compounds	Phenethylamines	N/A
5hoxindoa	5_hydroxyindoleacetate	C05635	3	5-Hydroxyindoleacetate		1826	7946	HMDB00763	Organic Compounds	Aromatic Cyclic Compounds	Indoles	Indolyl Carboxylic Acids and Derivatives
ac	acetate	C00033	47	Acetate	Organic acids	176	3335	HMDB00042	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Carboxylic Acid Derivatives
mal_L	l_malate	C00149	30	(S)-Malate	Organic acids	222656	3449	HMDB00156	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Dicarboxylic Acids and Derivatives
4abut	4_aminobutanoate	C00334	6	4-Aminobutanoate	Peptides!Hormones and transmitters	119	3628	HMDB00112	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Gamma Amino Acids and Derivatives
paps	3_phosphoadenylyl sulfate	C00053	5	3'-Phosphoadenylyl sulfate	Vitamins and Cofactors	10214	3355	HMDB01134	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
pap	adenosine 3,5_bisphosphate	C00054	8	Adenosine 3',5'-bisphosphate		159296	3356	HMDB00061	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
triodthy	triiodothyronine	C02465	4	Triiodothyronine	Peptides!Hormones and transmitters	5920	5481	HMDB00265	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
34dhoxpeg	3,4_dihydroxyphenylethyleneglycol	C05576	1	3,4-Dihydroxyphenylethyleneglycol		91528	7902	HMDB00318	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Tyrosols and Derivatives
34dhoxmand	3,4_dihydroxymandelate	C05580	3	3,4-Dihydroxymandelate		85782	7906	HMDB01866	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Tyrosols and Derivatives
dopasf	dopamine 3_o_sulfate	C13690	1	Dopamine 3-O-sulfate		122136	586279	HMDB06275	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Benzenediols
andrstrn	androsterone	C00523	7	Androsterone	Steroids	5879	3806	HMDB00031	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
dhea	dehydroepiandrosterone	C01227	9	Dehydroepiandrosterone	Steroids!Hormones and transmitters	5881	4449	HMDB00077	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Androgens and Derivatives
retinol	retinol	C00473	2	Retinol	Vitamins and Cofactors	445354	3756	HMDB00305	Organic Compounds	Lipids	Prenol Lipids	Retinoids
estradiol	estradiol	C00951	17	Estradiol-17beta	Steroids!Hormones and transmitters	5757	4202	HMDB00151	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
3moxtyr	3_methoxytyramine	C05587	2	3-Methoxytyramine		1669	7912	HMDB00022	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Benzenediols
CE3087	beta-carboline	C20157	6	beta-Carboline		64961	135626616	HMDB12897	Organic Compounds	Aromatic Cyclic Compounds	Indoles	Pyridoindoles
fald	formaldehyde	C00067	15	Formaldehyde		712	3367	HMDB01426	Organic Compounds	Aliphatic Acyclic Compounds	Carbonyl Compounds	Aldehydes
ade	adenine	C00147	21	Adenine	Nucleic acids	190	3447	HMDB00034	Organic Compounds	Aromatic Cyclic Compounds	Imidazopyrimidines	N/A
adn	adenosine	C00212	35	Adenosine	Nucleic acids	60961	3512	HMDB00050	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	N/A
adprib	adpribose	C00301	16	ADP-ribose		445794	3595	HMDB01178	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
prgstrn	progesterone	C00410	16	Progesterone	Steroids!Hormones and transmitters	5994	3700	HMDB01830	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
mthgxl	methylglyoxal	C00546	11	Methylglyoxal		880	3827	HMDB01167	Organic Compounds	Aliphatic Acyclic Compounds	Carbonyl Compounds	Aldehydes
glyald	d_glyceraldehyde	C00577	1	D-Glyceraldehyde	Carbohydrates	79014	3856	NA		Others		
